CITY INTERNATIONAL HOTEL,,,,,
Department : Sales,,,,,
Manager: Daniel Davids,,,,,
Date: 21.04.2023,,,,,
Prepared by Daniel Delano,,,,,
Sales Report $,,,,,
END OF THE YEAR SALES REPORT FOR CITY INTERNATIONAL HOTEL,,,,,
hotel,Month,Cost,Revenue,Profit,CarParked
City Hotel,January,13476.96,49480.75,36003.79,13
City Hotel,February,285.78,3181.5,2895.72,0
City Hotel,March,378.77,2861.15,2482.384,0
City Hotel,April,412.74,4114.45,3701.712,0
City Hotel,May,2119.48,11420.14,9300.66,0
City Hotel,June,4138.03,20850.78,16712.754,0
City Hotel,July,34827.73,126839.12,92011.388,1
City Hotel,August,27146.82,140187.82,113040.998,48
City Hotel,September,40617,266166.33,225549.328,29
City Hotel,October,38829.96,238287.48,199457.518,27
City Hotel,November,20570.35,125899.99,105329.645,25
City Hotel,December,14267.53,61300.13,47032.596,60
,,197.071.15,1.050.589.64,853.518.49,203
